"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
6.81461,9.50561333333333,70.6119498384773,2.00492470878767e-09,1.8435454264753e-05,11.6772869927655,"8074856"
7.127975,7.24829833333333,69.7733846883206,2.14244881343751e-09,1.8435454264753e-05,11.64347109159,"7951686"
-7.703075,8.85043666666667,-61.0843859832441,4.48344651935544e-09,1.8435454264753e-05,11.2358498864275,"7965410"
-6.65609,7.83173,-60.7546274673872,4.6202193902011e-09,1.8435454264753e-05,11.2180408212283,"7927631"
-5.687955,7.98832166666667,-60.5659236158169,4.70070079314443e-09,1.8435454264753e-05,11.2077628590578,"7942957"
-7.32119,8.335345,-60.5247983688122,4.71845936263886e-09,1.8435454264753e-05,11.2055144825996,"8051583"
-7.650865,8.743045,-59.6777318191323,5.10245998076116e-09,1.8435454264753e-05,11.158521949473,"8120967"
-5.53734,7.76832166666667,-58.9990394834234,5.43692963870724e-09,1.8435454264753e-05,11.1199109072707,"8083594"
-5.63748,9.50647666666667,-58.6979219476048,5.59356975224447e-09,1.8435454264753e-05,11.1024999389466,"8146863"
-6.08232,7.80549666666667,-57.8604679145366,6.05801341531357e-09,1.8435454264753e-05,11.0531484536866,"8089145"
-5.441735,7.72098,-57.2156657768669,6.44680842559171e-09,1.8435454264753e-05,11.0141954855045,"7919815"
5.621045,8.01625166666667,56.905919166483,6.64400550130751e-09,1.8435454264753e-05,10.9951807048338,"8114249"
-5.53512,9.00990833333333,-54.5418881859259,8.40817740873444e-09,2.15359294752793e-05,10.8432725598748,"7934906"
-6.065275,9.12044166666667,-53.6991717817296,9.16707784782316e-09,2.18025850784977e-05,10.7860714093018,"8106743"
-4.922345,8.294975,-52.7673393667987,1.01022515033825e-08,2.24249778872085e-05,10.720841318599,"8176624"
-5.44529,8.82400333333333,-51.9834286254235,1.09770981663397e-08,2.26305847889477e-05,10.6642944810276,"8131614"
5.3354,9.60924666666667,50.6852960698443,1.26306681506012e-08,2.26305847889477e-05,10.567143395718,"7963567"
